,title,price,link,description,address,agent,bedrooms,bathrooms,city,category,price_numeric,price_frequency,estimated_property_value,annual_rental_income,gross_rental_yield,roi_percentage,metric_status,estimated_monthly_rent,source,published,image_urls_str
77,"For SaleHigham LaneStoke Golding, 	
			CV13£245,000212","£245,000",https://www.belvoir.co.uk/nuneaton-hinckley-estate-agents/property/flat-for-sale-stoke-golding-cv13-P2765-42/,"Tenure: LeaseholdOffered with No Onward Chain, this spacious and well-presented two-bedroom ground floor apartment is set within The Courtyard, an exclusive ...","Flat for sale onHigham LaneStoke Golding, 	
			CV13",N/A,2,N/A,Bath,For Sale,245000,sale,245000,11760,4.80%,4.80%,City-based (Bath),980,https://www.belvoir.co.uk/,N/A,https://media.smelogin.co.uk/7052/2765/PropertyImages/CAM02333G0-PR0165-STILL019_1762450341_6232.jpg?auto=compress%2Cformat&crop=edges&fit=crop&fm=webp%2Cjpg&h=432&ixlib=php-2.1.1&or=0&q=60&w=577&s=7a29ff034b38fd78b64418c214688c70|https://media.smelogin.co.uk/7052/2765/PropertyImages/CAM02333G0-PR0165-STILL017_1762450318_3949.jpg?auto=compress%2Cformat&crop=edges&fit=crop&fm=webp%2Cjpg&h=432&ixlib=php-2.1.1&or=0&q=60&w=577&s=1804ab3be3d72c410aceb57437c2f1ba|https://media.smelogin.co.uk/7052/2765/PropertyImages/CAM02333G0-PR0165-STILL009_1762450317_1817.jpg?auto=compress%2Cformat&crop=edges&fit=crop&fm=webp%2Cjpg&h=432&ixlib=php-2.1.1&or=0&q=60&w=577&s=d159ab0262e9d36900537b21bd206879|https://media.smelogin.co.uk/7052/2765/PropertyImages/CAM02333G0-PR0165-STILL010_1762450319_8846.jpg?auto=compress%2Cformat&crop=edges&fit=crop&fm=webp%2Cjpg&h=432&ixlib=php-2.1.1&or=0&q=60&w=577&s=388b95194e5a1c9170fd9ec7e81951ba|https://media.smelogin.co.uk/7052/2765/PropertyImages/CAM02333G0-PR0165-STILL011_1762450317_5133.jpg?auto=compress%2Cformat&crop=edges&fit=crop&fm=webp%2Cjpg&h=432&ixlib=php-2.1.1&or=0&q=60&w=577&s=23ec377cf64d7cb510ba19ca76de9d8d
80,"For SaleBlackbird DriveBury St Edmunds, 	
			IP32£280,000Offers in excess of311","£280,000",https://www.belvoir.co.uk/bury-st-edmunds-estate-agents/property/terraced-house-for-sale-bury-st-edmunds-ip32-P1343-41/,"Tenure: FreeholdTenure: Freehold Welcome to Blackbird Drive, a beautifully presented and deceptively spacious three-bedroom family home, ideally p...","Terraced House for sale onBlackbird DriveBury St Edmunds, 	
			IP32",N/A,3,N/A,Bath,For Sale,280000,sale,280000,13440,4.80%,4.80%,City-based (Bath),1120,https://www.belvoir.co.uk/,N/A,https://media.smelogin.co.uk/7080/1343/PropertyImages/0_17522284848311.jpg?auto=compress%2Cformat&crop=edges&fit=crop&fm=webp%2Cjpg&h=432&ixlib=php-2.1.1&or=0&q=60&w=577&s=ac00caa0043863db7dc14b10b199cdfe|https://media.smelogin.co.uk/7080/1343/PropertyImages/1_17522284773407.jpg?auto=compress%2Cformat&crop=edges&fit=crop&fm=webp%2Cjpg&h=432&ixlib=php-2.1.1&or=0&q=60&w=577&s=22f495fca0ada258d2874bba1f99a833|https://media.smelogin.co.uk/7080/1343/PropertyImages/2_17522284771749.jpg?auto=compress%2Cformat&crop=edges&fit=crop&fm=webp%2Cjpg&h=432&ixlib=php-2.1.1&or=0&q=60&w=577&s=24c608d9cb604a745fa02f71aa9e42fa|https://media.smelogin.co.uk/7080/1343/PropertyImages/CAM02087G0-PR0374-STILL007_1758534052_473.jpg?auto=compress%2Cformat&crop=edges&fit=crop&fm=webp%2Cjpg&h=432&ixlib=php-2.1.1&or=0&q=60&w=577&s=82445f6422246d5c95f3ee9e3e60da4f|https://media.smelogin.co.uk/7080/1343/PropertyImages/CAM02087G0-PR0374-STILL001_1758534052_575.jpg?auto=compress%2Cformat&crop=edges&fit=crop&fm=webp%2Cjpg&h=432&ixlib=php-2.1.1&or=0&q=60&w=577&s=d04dbbf61788f1c8ac406c05b71b03a3
82,"For SaleChurch RowBury St Edmunds, 	
			IP33£275,000211","£275,000",https://www.belvoir.co.uk/bury-st-edmunds-estate-agents/property/terraced-house-for-sale-bury-st-edmunds-ip33-P1384-41/,"Welcome to Church Row, a beautifully presented two-bedroom period townhouse, superbly positioned on one of Bury St Edmunds’ most historic and desirable...","Terraced House for sale onChurch RowBury St Edmunds, 	
			IP33",N/A,2,N/A,London,For Sale,275000,sale,275000,12375,4.50%,4.50%,City-based (London),1031.25,https://www.belvoir.co.uk/,N/A,https://media.smelogin.co.uk/7080/1384/PropertyImages/CAM02087G0-PR0383-STILL034_1761652633_2045.jpg?auto=compress%2Cformat&crop=edges&fit=crop&fm=webp%2Cjpg&h=432&ixlib=php-2.1.1&or=0&q=60&w=577&s=8626a67ecd7a28b2951afca2dec93eb7|https://media.smelogin.co.uk/7080/1384/PropertyImages/CAM02087G0-PR0383-STILL003_1761652607_3431.jpg?auto=compress%2Cformat&crop=edges&fit=crop&fm=webp%2Cjpg&h=432&ixlib=php-2.1.1&or=0&q=60&w=577&s=ad024b86dfeaa35bc3d61332f869eac3|https://media.smelogin.co.uk/7080/1384/PropertyImages/CAM02087G0-PR0383-STILL005_1761652611_1229.jpg?auto=compress%2Cformat&crop=edges&fit=crop&fm=webp%2Cjpg&h=432&ixlib=php-2.1.1&or=0&q=60&w=577&s=5800a9b36fae0966803532f7b153fe59|https://media.smelogin.co.uk/7080/1384/PropertyImages/CAM02087G0-PR0383-STILL008_1761652608_2230.jpg?auto=compress%2Cformat&crop=edges&fit=crop&fm=webp%2Cjpg&h=432&ixlib=php-2.1.1&or=0&q=60&w=577&s=52f96d7b86b7cb35279bea1480f03dfd|https://media.smelogin.co.uk/7080/1384/PropertyImages/CAM02087G0-PR0383-STILL010_1761652609_7235.jpg?auto=compress%2Cformat&crop=edges&fit=crop&fm=webp%2Cjpg&h=432&ixlib=php-2.1.1&or=0&q=60&w=577&s=66d3845546279367f2a5c67aa40ce704
85,"For SaleBakers Court, Gt. CornardSudbury, 	
			CO10£215,000Offers in excess of221","£215,000",https://www.belvoir.co.uk/bury-st-edmunds-estate-agents/property/apartment-for-sale-sudbury-co10-P752-41/,"Set on the 47th floor of the prestigious Principle Tower is a truly stunning 2 bedroom penthouse apartment. This multi-aspect unit is one of the few in the 50 storey high luxury development to face South, East and North with wall to floor glass exterior to seamlessly enhance your sky experience of the City.Principal Tower boasts a stellar location overlooking the heart of the City of London, the top global financial centre, and Shoreditch, the trend-setting capital of the world. The rare opportunity to live at this sought-after CBD location means both the world's financial powerhouse of London Stock Exchange and high fashion brands at the Royal Exchange are all within a short walk away, as are five major transport hubs, making it convenient to access all corners of the capital with ease and speed.Principal Tower offers the opportunity to own an architectural masterpiece, equivalent to a priceless piece of art, that will give constant pleasure and lasting value.Stepping in from the impressive landscaped piazza, guests will be greeted by the friendly concierge stationed round the clock at the equally stunning over height lobby. Residents also benefit from amenities that include a lap pool, spa, a state- of-the-art gym, cinema, and a private lounge. There are subterranean bicycle storage facilities available and opportunities to acquire parking spaces.Every apartment has been spatially configured in order to maximise the impact of the views beyond, with many of the open-plan living areas leading directly on to balconies.","Apartment for sale onBakers Court, Gt. CornardSudbury, 	
			CO10",N/A,2,N/A,Bath,For Sale,215000,sale,215000,10320,4.80%,4.80%,City-based (Bath),860,https://www.belvoir.co.uk/,N/A,https://media.smelogin.co.uk/7080/752/PropertyImages/0_1663003553636.jpg?auto=compress%2Cformat&crop=edges&fit=crop&fm=webp%2Cjpg&h=432&ixlib=php-2.1.1&or=0&q=60&w=577&s=385332a6b3d8701129d1af1e1f5166dd|https://media.smelogin.co.uk/7080/752/PropertyImages/1_16630035488035.jpg?auto=compress%2Cformat&crop=edges&fit=crop&fm=webp%2Cjpg&h=432&ixlib=php-2.1.1&or=0&q=60&w=577&s=55ad7cd123de1f62f138601b6e5313f4|https://media.smelogin.co.uk/7080/752/PropertyImages/2_166300354627.jpg?auto=compress%2Cformat&crop=edges&fit=crop&fm=webp%2Cjpg&h=432&ixlib=php-2.1.1&or=0&q=60&w=577&s=4ed759d06541f5a4cba095061d693f8a|https://media.smelogin.co.uk/7080/752/PropertyImages/3_16630035447827.jpg?auto=compress%2Cformat&crop=edges&fit=crop&fm=webp%2Cjpg&h=432&ixlib=php-2.1.1&or=0&q=60&w=577&s=f6101a649e2926133ab6402abb75be59|https://media.smelogin.co.uk/7080/752/PropertyImages/4_16630035486306.jpg?auto=compress%2Cformat&crop=edges&fit=crop&fm=webp%2Cjpg&h=432&ixlib=php-2.1.1&or=0&q=60&w=577&s=9a2d06092093d3b2e36b336a880b6d73
87,For Sale,"£9,900,000",https://www.hunters.com/properties-for-sale/3-bedrooms-flat-in-worship-street-london-ec2a-ec2a/32578777/,"Nestled in the heart of Shoreditch, where art, culture, and innovation converge, this one-of-a-kind penthouse apartment offers the epitome of contemporary urban living. Situated within the prestigious Principal Tower, this 3-bedroom, 3-bathroom residence redefines luxury, providing breath-taking views of London's iconic skyline, unparalleled design, and an exclusive lifestyle.Ascend to the 48th floor, and be greeted by awe-inspiring, unobstructed views of the London skyline. Witness the Shard, the Gherkin, and the iconic Tower Bridge from the comfort of your home, offering an ever-changing masterpiece of the city.Crafted with meticulous attention to detail, this penthouse boasts a modern and elegant design. Floor-to-ceiling windows flood the living spaces with natural light, while the open-plan layout creates a seamless flow between the kitchen, dining, and living areas.The state-of-the-art kitchen is equipped with top-of-the-line appliances and sleek cabinetry, making it the perfect space for culinary enthusiasts and entertainers alike.Three spacious and exquisitely designed bedrooms provide ample room for relaxation. The master suite features a walk-in closet and an ensuite bathroom with a bathtub overlooking the city.Step outside to your private terrace and savour a morning coffee or an evening cocktail while enjoying the unparalleled views.

This outdoor space is perfect for hosting gatherings or simply unwinding in style.As a resident of Principal Tower, you'll have access to an array of luxury amenities, including a 24-hour concierge, a fitness centre, a spa, a cinema room, and an exquisite rooftop garden.Shoreditch Lifestyle - Shoreditch is renowned for its vibrant arts scene, eclectic dining, and fashionable boutiques. Your penthouse is perfectly positioned to explore the neighbourhood’s unique character, from street art to artisan coffee shops.Excellent Connectivity - Principal Tower is well-connected, with Liverpool Street Station nearby.","Worship Street, London, EC2A",N/A,3,N/A,London,For Sale,9900000,sale,9900000,445500,4.50%,4.50%,City-based (London),37125,https://www.hunters.com/,N/A,https://tpjcdn.co.uk/wp-hunters.iomart.thepropertyjungle.com/resize/32578777/0/1500|https://tpjcdn.co.uk/wp-hunters.iomart.thepropertyjungle.com/resize/32578777/1/1500|https://tpjcdn.co.uk/wp-hunters.iomart.thepropertyjungle.com/resize/32578777/2/1500|https://tpjcdn.co.uk/wp-hunters.iomart.thepropertyjungle.com/resize/32578777/3/1500|https://tpjcdn.co.uk/wp-hunters.iomart.thepropertyjungle.com/resize/32578777/4/1500
88,"Worship Street, London, EC2A","£9,900,000",https://www.hunters.com/properties-for-sale/3-bedrooms-flat-in-worship-street-london-ec2a-ec2a/32578777/,"Nestled in the heart of Shoreditch, where art, culture, and innovation converge, this one-of-a-kind penthouse apartment offers the epitome of contemporary urban living. Situated within the prestigious Principal Tower, this 3-bedroom, 3-bathroom residence redefines luxury, providing breath-taking views of London's iconic skyline, unparalleled design, and an exclusive lifestyle.Ascend to the 48th floor, and be greeted by awe-inspiring, unobstructed views of the London skyline. Witness the Shard, the Gherkin, and the iconic Tower Bridge from the comfort of your home, offering an ever-changing masterpiece of the city.Crafted with meticulous attention to detail, this penthouse boasts a modern and elegant design. Floor-to-ceiling windows flood the living spaces with natural light, while the open-plan layout creates a seamless flow between the kitchen, dining, and living areas.The state-of-the-art kitchen is equipped with top-of-the-line appliances and sleek cabinetry, making it the perfect space for culinary enthusiasts and entertainers alike.Three spacious and exquisitely designed bedrooms provide ample room for relaxation. The master suite features a walk-in closet and an ensuite bathroom with a bathtub overlooking the city.Step outside to your private terrace and savour a morning coffee or an evening cocktail while enjoying the unparalleled views.

This outdoor space is perfect for hosting gatherings or simply unwinding in style.As a resident of Principal Tower, you'll have access to an array of luxury amenities, including a 24-hour concierge, a fitness centre, a spa, a cinema room, and an exquisite rooftop garden.Shoreditch Lifestyle - Shoreditch is renowned for its vibrant arts scene, eclectic dining, and fashionable boutiques. Your penthouse is perfectly positioned to explore the neighbourhood’s unique character, from street art to artisan coffee shops.Excellent Connectivity - Principal Tower is well-connected, with Liverpool Street Station nearby.","Worship Street, London, EC2A",N/A,3,N/A,London,For Sale,9900000,sale,9900000,445500,4.50%,4.50%,City-based (London),37125,https://www.hunters.com/,N/A,https://tpjcdn.co.uk/wp-hunters.iomart.thepropertyjungle.com/resize/32578777/0/1500|https://tpjcdn.co.uk/wp-hunters.iomart.thepropertyjungle.com/resize/32578777/1/1500|https://tpjcdn.co.uk/wp-hunters.iomart.thepropertyjungle.com/resize/32578777/2/1500|https://tpjcdn.co.uk/wp-hunters.iomart.thepropertyjungle.com/resize/32578777/3/1500|https://tpjcdn.co.uk/wp-hunters.iomart.thepropertyjungle.com/resize/32578777/4/1500
89,For Sale,"£3,335,000",https://www.hunters.com/properties-for-sale/2-bedrooms-flat-in-principal-tower-london-ec2a-ec2a/32583359/,"Experience the pinnacle of urban living in this extraordinary 2-bedroom, 2-bathroom penthouse, perched high on the 45th floor of the highly coveted Principal Tower. With unrivalled views of London's iconic skyline and a level of luxury that is truly unparalleled, this property represents a once-in-a-lifetime opportunity for discerning buyers.The penthouse is a masterpiece of modern design, featuring sleek lines, premium finishes, and an open-concept layout that maximizes space and light. High-quality materials and contemporary aesthetics create a sense of refined luxury throughout.Step out onto your private terrace, a tranquil oasis above the bustling city, where you can unwind, dine, or entertain while soaking in the breath-taking views.Residents of Principal Tower enjoy access to a wealth of amenities, including a 24-hour concierge, fitness centre, cinema room, spa, and a residents' lounge.Located in the heart of London's financial district, Principal Tower offers unparalleled convenience. The best of the city, from world-class dining to cultural attractions, is at your doorstep.This penthouse at Principal Tower is more than just a home; it's a statement of opulence and sophistication. If you're seeking a property that defines luxury living in London, this is your opportunity.

Contact us today to schedule a private viewing and make this exceptional penthouse your own.","Principal Tower, London, EC2A",N/A,2,N/A,London,For Sale,3335000,sale,3335000,150075,4.50%,4.50%,City-based (London),12506.25,https://www.hunters.com/,N/A,https://tpjcdn.co.uk/wp-hunters.iomart.thepropertyjungle.com/resize/32583359/0/1500|https://tpjcdn.co.uk/wp-hunters.iomart.thepropertyjungle.com/resize/32583359/1/1500|https://tpjcdn.co.uk/wp-hunters.iomart.thepropertyjungle.com/resize/32583359/2/1500|https://tpjcdn.co.uk/wp-hunters.iomart.thepropertyjungle.com/resize/32583359/3/1500|https://tpjcdn.co.uk/wp-hunters.iomart.thepropertyjungle.com/resize/32583359/4/1500
90,"Principal Tower, London, EC2A","£3,335,000",https://www.hunters.com/properties-for-sale/2-bedrooms-flat-in-principal-tower-london-ec2a-ec2a/32583359/,"Experience the pinnacle of urban living in this extraordinary 2-bedroom, 2-bathroom penthouse, perched high on the 45th floor of the highly coveted Principal Tower. With unrivalled views of London's iconic skyline and a level of luxury that is truly unparalleled, this property represents a once-in-a-lifetime opportunity for discerning buyers.The penthouse is a masterpiece of modern design, featuring sleek lines, premium finishes, and an open-concept layout that maximizes space and light. High-quality materials and contemporary aesthetics create a sense of refined luxury throughout.Step out onto your private terrace, a tranquil oasis above the bustling city, where you can unwind, dine, or entertain while soaking in the breath-taking views.Residents of Principal Tower enjoy access to a wealth of amenities, including a 24-hour concierge, fitness centre, cinema room, spa, and a residents' lounge.Located in the heart of London's financial district, Principal Tower offers unparalleled convenience. The best of the city, from world-class dining to cultural attractions, is at your doorstep.This penthouse at Principal Tower is more than just a home; it's a statement of opulence and sophistication. If you're seeking a property that defines luxury living in London, this is your opportunity.

